blur,6/20/2017,0,,,[object Window],,,automatic
focus,6/20/2017,0.3186150000010457,,,[object Window],,,automatic
mouseover,6/20/2017,2.986232999999629,879,390,[object HTMLHtmlElement],,,automatic
mouseout,6/20/2017,25.685209999999643,879,390,[object HTMLHtmlElement],,,automatic
mouseover,6/20/2017,25.89152699999977,879,390,[object HTMLBodyElement],,,automatic
load,6/20/2017,350.40542000000005,,,[object HTMLDocument],,,automatic
pageshow,6/20/2017,350.5708089999998,,,[object HTMLDocument],,,automatic
wheel,6/20/2017,1920.2180150000004,878,389,[object HTMLBodyElement],,,automatic
wheel,6/20/2017,1931.4799999999996,878,389,[object HTMLBodyElement],,,automatic
wheel,6/20/2017,1936.6207290000002,878,389,[object HTMLBodyElement],,,automatic
scroll,6/20/2017,1945.8134950000003,,,[object HTMLDocument],,,automatic
wheel,6/20/2017,1948.1047360000002,878,389,[object HTMLBodyElement],,,automatic
wheel,6/20/2017,1952.6381370000008,878,389,[object HTMLBodyElement],,,automatic
scroll,6/20/2017,1961.7062580000002,,,[object HTMLDocument],,,automatic
wheel,6/20/2017,1963.9485210000003,878,389,[object HTMLBodyElement],,,automatic
wheel,6/20/2017,1968.8109330000007,878,389,[object HTMLBodyElement],,,automatic
scroll,6/20/2017,1979.200054,,,[object HTMLDocument],,,automatic
wheel,6/20/2017,1980.2924360000006,878,389,[object HTMLBodyElement],,,automatic
wheel,6/20/2017,1984.9357879999998,878,389,[object HTMLBodyElement],,,automatic
scroll,6/20/2017,1994.887197,,,[object HTMLDocument],,,automatic
wheel,6/20/2017,1996.7190949999995,878,389,[object HTMLBodyElement],,,automatic
wheel,6/20/2017,2001.1595320000006,878,389,[object HTMLBodyElement],,,automatic
scroll,6/20/2017,2012.3054390000007,,,[object HTMLDocument],,,automatic
wheel,6/20/2017,2012.166792,878,389,[object HTMLBodyElement],,,automatic
wheel,6/20/2017,2017.294406,878,389,[object HTMLBodyElement],,,automatic
