blur,6/20/2017,0,,,[object Window],,,automatic
focus,6/20/2017,0.2742019999986951,,,[object Window],,,automatic
mouseover,6/20/2017,3.0623109999996814,899,388,[object HTMLHtmlElement],,,automatic
mouseout,6/20/2017,28.460344999999506,899,388,[object HTMLHtmlElement],,,automatic
mouseover,6/20/2017,28.60941499999899,899,388,[object HTMLBodyElement],,,automatic
load,6/20/2017,320.1672809999982,,,[object HTMLDocument],,,automatic
pageshow,6/20/2017,320.32041200000094,,,[object HTMLDocument],,,automatic
mousemove,6/20/2017,618.3820299999988,896,388,[object HTMLBodyElement],,,automatic
mousemove,6/20/2017,635.7583939999986,884,391,[object HTMLBodyElement],,,automatic
mouseout,6/20/2017,653.5618639999993,865,396,[object HTMLBodyElement],,,automatic
mouseover,6/20/2017,653.8036319999992,865,396,[object HTMLParagraphElement],21,,automatic
mousemove,6/20/2017,652.7642669999987,865,396,[object HTMLParagraphElement],21,,automatic
mousemove,6/20/2017,669.874617999998,836,406,[object HTMLParagraphElement],21,,automatic
mouseout,6/20/2017,688.5249349999995,796,417,[object HTMLParagraphElement],21,,automatic
mouseover,6/20/2017,688.7006109999984,796,417,[object HTMLBodyElement],,,automatic
mousemove,6/20/2017,687.0876970000008,796,417,[object HTMLBodyElement],,,automatic
mouseout,6/20/2017,705.9422309999991,760,429,[object HTMLBodyElement],,,automatic
mouseover,6/20/2017,706.0999069999998,760,429,[object HTMLParagraphElement],22,,automatic
mousemove,6/20/2017,704.7264439999999,760,429,[object HTMLParagraphElement],22,,automatic
mousemove,6/20/2017,722.1185829999995,739,435,[object HTMLParagraphElement],22,,automatic
mousemove,6/20/2017,739.2901970000003,717,443,[object HTMLParagraphElement],22,,automatic
mouseout,6/20/2017,756.8632149999994,702,449,[object HTMLParagraphElement],22,,automatic
mouseover,6/20/2017,756.9746009999981,702,449,[object HTMLBodyElement],,,automatic
mousemove,6/20/2017,756.0190029999994,702,449,[object HTMLBodyElement],,,automatic
mousemove,6/20/2017,772.6757129999987,695,455,[object HTMLBodyElement],,,automatic
wheel,6/20/2017,1024.140782999999,694,454,[object HTMLBodyElement],,,automatic
wheel,6/20/2017,1032.123196999999,694,454,[object HTMLBodyElement],,,automatic
wheel,6/20/2017,1040.0954949999996,694,454,[object HTMLBodyElement],,,automatic
scroll,6/20/2017,1047.6548669999993,,,[object HTMLDocument],,,automatic
wheel,6/20/2017,1049.0028219999986,694,454,[object HTMLParagraphElement],24,,automatic
wheel,6/20/2017,1056.2542759999997,694,454,[object HTMLParagraphElement],24,,automatic
scroll,6/20/2017,1063.4644659999994,,,[object HTMLDocument],,,automatic
wheel,6/20/2017,1065.1203219999989,694,454,[object HTMLParagraphElement],24,,automatic
wheel,6/20/2017,1072.409415,694,454,[object HTMLParagraphElement],24,,automatic
scroll,6/20/2017,1079.9560499999989,,,[object HTMLDocument],,,automatic
wheel,6/20/2017,1081.1284250000008,694,454,[object HTMLParagraphElement],24,,automatic
